[2024.06.07 00:12:17 - info ] 4036200 ticks received from exchange SHFE
[2024.06.07 00:12:21 - info ] 4036400 ticks received from exchange SHFE
[2024.06.07 00:12:25 - info ] 4036600 ticks received from exchange SHFE
[2024.06.07 00:12:27 - info ] 4036800 ticks received from exchange SHFE
[2024.06.07 00:12:29 - info ] 905600 ticks received from exchange INE
[2024.06.07 00:12:30 - info ] 4037000 ticks received from exchange SHFE
[2024.06.07 00:12:33 - info ] 4037200 ticks received from exchange SHFE
[2024.06.07 00:12:36 - info ] 4037400 ticks received from exchange SHFE
[2024.06.07 00:12:39 - info ] 4037600 ticks received from exchange SHFE
[2024.06.07 00:12:42 - info ] 4037800 ticks received from exchange SHFE
[2024.06.07 00:12:43 - debug] RT tick block of SHFE.cu2501 resized to 12500
[2024.06.07 00:12:44 - info ] 905800 ticks received from exchange INE
[2024.06.07 00:12:45 - info ] 4038000 ticks received from exchange SHFE
[2024.06.07 00:12:47 - info ] 4038200 ticks received from exchange SHFE
[2024.06.07 00:12:50 - info ] 4038400 ticks received from exchange SHFE
