code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SHFE.rb.HOT,LONG,201705090925,3025,201705091500,3012,1,-130,70,-440,994.76,left_long_entry,收盘平仓,59944,59984
DCE.i.HOT,SHORT,201705090925,467.5,201705091500,465.5,1,200,850,-100,1193.36,right_long_entry,收盘平仓,59944,59984
SHFE.rb.HOT,LONG,201705181345,3135,201705181500,3149,1,140,240,-10,1324.22,left_long_entry,收盘平仓,60452,60467
DCE.i.HOT,SHORT,201705181345,475.5,201705181500,471,1,450,550,-300,1772.81,right_long_entry,收盘平仓,60452,60467
SHFE.rb.HOT,SHORT,201706010910,3098,201706011500,3097,1,10,410,-290,1774.08,left_short_entry,收盘平仓,60952,60995
DCE.i.HOT,LONG,201706010910,422,201706011500,420.5,1,-150,550,-700,1622.82,right_short_entry,收盘平仓,60952,60995
SHFE.rb.HOT,SHORT,201706020925,3056,201706021500,3034,1,220,310,-230,1834.2,left_short_entry,收盘平仓,61024,61064
DCE.i.HOT,LONG,201706020925,421.5,201706021500,428.5,1,700,1300,-200,2532.91,right_short_entry,收盘平仓,61024,61064
SHFE.rb.HOT,SHORT,201706080915,2944,201706081125,3006,1,-620,200,-640,1904.41,left_short_entry,left_short_exit,61298,61321
DCE.i.HOT,LONG,201706080915,425.5,201706081125,434.5,1,900,900,-150,2803.11,right_short_entry,right_short_exit,61298,61321
SHFE.rb.HOT,SHORT,201706290955,3311,201706291500,3299,1,120,380,-190,2913.64,left_short_entry,收盘平仓,62341,62375
DCE.i.HOT,LONG,201706290955,476,201706291500,477.5,1,150,850,-400,3062.21,right_short_entry,收盘平仓,62341,62375
SHFE.rb.HOT,LONG,201707030910,3393,201707031500,3399,1,60,120,-490,3112.55,left_long_entry,收盘平仓,62470,62513
DCE.i.HOT,SHORT,201707030910,478,201707031500,484.5,1,-650,550,-900,2461.1,right_long_entry,收盘平仓,62470,62513
SHFE.rb.HOT,SHORT,201707201340,3569,201707201500,3500,1,690,720,-100,3140.88,left_short_entry,收盘平仓,63394,63410
DCE.i.HOT,LONG,201707201340,525,201707201500,519.5,1,-550,150,-950,2589.32,right_short_entry,收盘平仓,63394,63410
SHFE.rb.HOT,LONG,201708081110,4080,201708081500,4045,1,-350,30,-640,2227.82,left_long_entry,收盘平仓,64285,64307
DCE.i.HOT,SHORT,201708081110,561,201708081500,548.5,1,1250,1800,-100,3476.17,right_long_entry,收盘平仓,64285,64307
SHFE.rb.HOT,SHORT,201708170925,3847,201708171500,3812,1,350,820,-130,3815.15,left_short_entry,收盘平仓,64750,64790
DCE.i.HOT,LONG,201708170925,560.5,201708171500,554,1,-650,50,-1650,3163.49,right_short_entry,收盘平仓,64750,64790
SHFE.rb.HOT,SHORT,201708230910,3769,201708231500,3786,1,-170,590,-540,2982.48,left_short_entry,收盘平仓,65023,65066
DCE.i.HOT,LONG,201708230910,575.5,201708231500,579,1,350,1050,-1050,3330.74,right_short_entry,收盘平仓,65023,65066
SHFE.rb.HOT,LONG,201708280910,3831,201708281500,3926,1,950,1030,-250,4269.62,left_long_entry,收盘平仓,65230,65273
DCE.i.HOT,SHORT,201708280910,559.5,201708281500,571.5,1,-1200,0,-1350,3067.91,right_long_entry,收盘平仓,65230,65273
SHFE.rb.HOT,LONG,201709011120,3982,201709011500,4071,1,890,1150,-80,3946.41,left_long_entry,收盘平仓,65529,65549
DCE.i.HOT,SHORT,201709011120,574.5,201709011500,585.5,1,-1100,150,-1400,2844.65,right_long_entry,收盘平仓,65529,65549
